2023-01-11 05:58:04 startup archives unpack
2023-01-11 05:58:04 install openssl:amd64 <none> 1.1.1n-0+deb11u3
2023-01-11 05:58:04 status half-installed openssl:amd64 1.1.1n-0+deb11u3
2023-01-11 05:58:04 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2023-01-11 05:58:04 install ca-certificates:all <none> 20210119
2023-01-11 05:58:04 status half-installed ca-certificates:all 20210119
2023-01-11 05:58:04 status unpacked ca-certificates:all 20210119
2023-01-11 05:58:04 install libapr1:amd64 <none> 1.7.0-6+deb11u1
2023-01-11 05:58:04 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2023-01-11 05:58:04 status half-installed libapr1:amd64 1.7.0-6+deb11u1
2023-01-11 05:58:04 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2023-01-11 05:58:04 install libexpat1:amd64 <none> 2.2.10-2+deb11u5
2023-01-11 05:58:04 status half-installed libexpat1:amd64 2.2.10-2+deb11u5
2023-01-11 05:58:04 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
2023-01-11 05:58:04 install libgdbm6:amd64 <none> 1.19-2
2023-01-11 05:58:04 status half-installed libgdbm6:amd64 1.19-2
2023-01-11 05:58:04 status unpacked libgdbm6:amd64 1.19-2
2023-01-11 05:58:04 install libaprutil1:amd64 <none> 1.6.1-5
2023-01-11 05:58:04 status half-installed libaprutil1:amd64 1.6.1-5
2023-01-11 05:58:04 status unpacked libaprutil1:amd64 1.6.1-5
2023-01-11 05:58:04 install libsasl2-modules-db:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:04 status half-installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:04 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 install libsasl2-2:amd64 <none> 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 status half-installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 install libldap-2.4-2:amd64 <none> 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 status half-installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 install libaprutil1-ldap:amd64 <none> 1.6.1-5
2023-01-11 05:58:05 status half-installed libaprutil1-ldap:amd64 1.6.1-5
2023-01-11 05:58:05 status unpacked libaprutil1-ldap:amd64 1.6.1-5
2023-01-11 05:58:05 install libldap-common:all <none> 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 status half-installed libldap-common:all 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 status unpacked libldap-common:all 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 startup packages configure
2023-01-11 05:58:05 configure libexpat1:amd64 2.2.10-2+deb11u5 <none>
2023-01-11 05:58:05 status unpacked libexpat1:amd64 2.2.10-2+deb11u5
2023-01-11 05:58:05 status half-configured libexpat1:amd64 2.2.10-2+deb11u5
2023-01-11 05:58:05 status installed libexpat1:amd64 2.2.10-2+deb11u5
2023-01-11 05:58:05 configure libapr1:amd64 1.7.0-6+deb11u1 <none>
2023-01-11 05:58:05 status unpacked libapr1:amd64 1.7.0-6+deb11u1
2023-01-11 05:58:05 status half-configured libapr1:amd64 1.7.0-6+deb11u1
2023-01-11 05:58:05 status installed libapr1:amd64 1.7.0-6+deb11u1
2023-01-11 05:58:05 configure libldap-common:all 2.4.57+dfsg-3+deb11u1 <none>
2023-01-11 05:58:05 status unpacked libldap-common:all 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 status half-configured libldap-common:all 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 status installed libldap-common:all 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 configure libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2023-01-11 05:58:05 status unpacked libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 status half-configured libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 status installed libsasl2-modules-db:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 configure libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1 <none>
2023-01-11 05:58:05 status unpacked libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 status half-configured libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 status installed libsasl2-2:amd64 2.1.27+dfsg-2.1+deb11u1
2023-01-11 05:58:05 configure openssl:amd64 1.1.1n-0+deb11u3 <none>
2023-01-11 05:58:05 status unpacked openssl:amd64 1.1.1n-0+deb11u3
2023-01-11 05:58:05 status half-configured openssl:amd64 1.1.1n-0+deb11u3
2023-01-11 05:58:05 status installed openssl:amd64 1.1.1n-0+deb11u3
2023-01-11 05:58:05 configure libgdbm6:amd64 1.19-2 <none>
2023-01-11 05:58:05 status unpacked libgdbm6:amd64 1.19-2
2023-01-11 05:58:05 status half-configured libgdbm6:amd64 1.19-2
2023-01-11 05:58:05 status installed libgdbm6:amd64 1.19-2
2023-01-11 05:58:05 configure libaprutil1:amd64 1.6.1-5 <none>
2023-01-11 05:58:05 status unpacked libaprutil1:amd64 1.6.1-5
2023-01-11 05:58:05 status half-configured libaprutil1:amd64 1.6.1-5
2023-01-11 05:58:05 status installed libaprutil1:amd64 1.6.1-5
2023-01-11 05:58:05 configure libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1 <none>
2023-01-11 05:58:05 status unpacked libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 status half-configured libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 status installed libldap-2.4-2:amd64 2.4.57+dfsg-3+deb11u1
2023-01-11 05:58:05 configure libaprutil1-ldap:amd64 1.6.1-5 <none>
2023-01-11 05:58:05 status unpacked libaprutil1-ldap:amd64 1.6.1-5
2023-01-11 05:58:05 status half-configured libaprutil1-ldap:amd64 1.6.1-5
2023-01-11 05:58:05 status installed libaprutil1-ldap:amd64 1.6.1-5
2023-01-11 05:58:05 configure ca-certificates:all 20210119 <none>
2023-01-11 05:58:05 status unpacked ca-certificates:all 20210119
2023-01-11 05:58:05 status half-configured ca-certificates:all 20210119
2023-01-11 05:58:06 status installed ca-certificates:all 20210119
2023-01-11 05:58:06 status triggers-pending ca-certificates:all 20210119
2023-01-11 05:58:06 trigproc libc-bin:amd64 2.31-13+deb11u5 <none>
2023-01-11 05:58:06 status half-configured libc-bin:amd64 2.31-13+deb11u5
2023-01-11 05:58:06 status installed libc-bin:amd64 2.31-13+deb11u5
2023-01-11 05:58:06 trigproc ca-certificates:all 20210119 <none>
2023-01-11 05:58:06 status half-configured ca-certificates:all 20210119
2023-01-11 05:58:06 status installed ca-certificates:all 20210119
2023-01-18 05:05:14 startup archives unpack
2023-01-18 05:05:14 install perl-modules-5.32:all <none> 5.32.1-4+deb11u2
2023-01-18 05:05:14 status half-installed perl-modules-5.32:all 5.32.1-4+deb11u2
2023-01-18 05:05:14 status unpacked perl-modules-5.32:all 5.32.1-4+deb11u2
2023-01-18 05:05:14 install libgdbm-compat4:amd64 <none> 1.19-2
2023-01-18 05:05:14 status triggers-pending libc-bin:amd64 2.31-13+deb11u5
2023-01-18 05:05:14 status half-installed libgdbm-compat4:amd64 1.19-2
2023-01-18 05:05:14 status unpacked libgdbm-compat4:amd64 1.19-2
2023-01-18 05:05:14 install libperl5.32:amd64 <none> 5.32.1-4+deb11u2
2023-01-18 05:05:14 status half-installed libperl5.32:amd64 5.32.1-4+deb11u2
2023-01-18 05:05:15 status unpacked libperl5.32:amd64 5.32.1-4+deb11u2
2023-01-18 05:05:15 install perl:amd64 <none> 5.32.1-4+deb11u2
2023-01-18 05:05:15 status half-installed perl:amd64 5.32.1-4+deb11u2
2023-01-18 05:05:15 status unpacked perl:amd64 5.32.1-4+deb11u2
2023-01-18 05:05:15 install libpython3.9-minimal:amd64 <none> 3.9.2-1
2023-01-18 05:05:15 status half-installed libpython3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:15 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:15 install python3.9-minimal:amd64 <none> 3.9.2-1
2023-01-18 05:05:15 status half-installed python3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:15 status unpacked python3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:15 startup packages configure
2023-01-18 05:05:15 configure libpython3.9-minimal:amd64 3.9.2-1 <none>
2023-01-18 05:05:15 status unpacked libpython3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:15 status half-configured libpython3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:15 status installed libpython3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:15 configure python3.9-minimal:amd64 3.9.2-1 <none>
2023-01-18 05:05:15 status unpacked python3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:15 status half-configured python3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:16 status installed python3.9-minimal:amd64 3.9.2-1
2023-01-18 05:05:16 startup archives unpack
2023-01-18 05:05:16 install python3-minimal:amd64 <none> 3.9.2-3
2023-01-18 05:05:16 status half-installed python3-minimal:amd64 3.9.2-3
2023-01-18 05:05:16 status unpacked python3-minimal:amd64 3.9.2-3
2023-01-18 05:05:16 install media-types:all <none> 4.0.0
2023-01-18 05:05:16 status half-installed media-types:all 4.0.0
2023-01-18 05:05:16 status unpacked media-types:all 4.0.0
2023-01-18 05:05:16 install libmpdec3:amd64 <none> 2.5.1-1
2023-01-18 05:05:16 status half-installed libmpdec3:amd64 2.5.1-1
2023-01-18 05:05:16 status unpacked libmpdec3:amd64 2.5.1-1
2023-01-18 05:05:16 install libncursesw6:amd64 <none> 6.2+20201114-2
2023-01-18 05:05:16 status half-installed libncursesw6:amd64 6.2+20201114-2
2023-01-18 05:05:16 status unpacked libncursesw6:amd64 6.2+20201114-2
2023-01-18 05:05:16 install readline-common:all <none> 8.1-1
2023-01-18 05:05:16 status half-installed readline-common:all 8.1-1
2023-01-18 05:05:16 status unpacked readline-common:all 8.1-1
2023-01-18 05:05:16 install libreadline8:amd64 <none> 8.1-1
2023-01-18 05:05:16 status half-installed libreadline8:amd64 8.1-1
2023-01-18 05:05:16 status unpacked libreadline8:amd64 8.1-1
2023-01-18 05:05:16 install libsqlite3-0:amd64 <none> 3.34.1-3
2023-01-18 05:05:16 status half-installed libsqlite3-0:amd64 3.34.1-3
2023-01-18 05:05:16 status unpacked libsqlite3-0:amd64 3.34.1-3
2023-01-18 05:05:16 install libpython3.9-stdlib:amd64 <none> 3.9.2-1
2023-01-18 05:05:16 status half-installed libpython3.9-stdlib:amd64 3.9.2-1
2023-01-18 05:05:16 status unpacked libpython3.9-stdlib:amd64 3.9.2-1
2023-01-18 05:05:16 install python3.9:amd64 <none> 3.9.2-1
2023-01-18 05:05:16 status half-installed python3.9:amd64 3.9.2-1
2023-01-18 05:05:16 status unpacked python3.9:amd64 3.9.2-1
2023-01-18 05:05:16 install libpython3-stdlib:amd64 <none> 3.9.2-3
2023-01-18 05:05:16 status half-installed libpython3-stdlib:amd64 3.9.2-3
2023-01-18 05:05:16 status unpacked libpython3-stdlib:amd64 3.9.2-3
2023-01-18 05:05:16 startup packages configure
2023-01-18 05:05:16 configure python3-minimal:amd64 3.9.2-3 <none>
2023-01-18 05:05:16 status unpacked python3-minimal:amd64 3.9.2-3
2023-01-18 05:05:16 status half-configured python3-minimal:amd64 3.9.2-3
2023-01-18 05:05:16 status installed python3-minimal:amd64 3.9.2-3
2023-01-18 05:05:16 startup archives unpack
2023-01-18 05:05:17 install python3:amd64 <none> 3.9.2-3
2023-01-18 05:05:17 status half-installed python3:amd64 3.9.2-3
2023-01-18 05:05:17 status unpacked python3:amd64 3.9.2-3
2023-01-18 05:05:17 install bzip2:amd64 <none> 1.0.8-4
2023-01-18 05:05:17 status half-installed bzip2:amd64 1.0.8-4
2023-01-18 05:05:17 status unpacked bzip2:amd64 1.0.8-4
2023-01-18 05:05:17 install libpsl5:amd64 <none> 0.21.0-1.2
2023-01-18 05:05:17 status half-installed libpsl5:amd64 0.21.0-1.2
2023-01-18 05:05:17 status unpacked libpsl5:amd64 0.21.0-1.2
2023-01-18 05:05:17 install wget:amd64 <none> 1.21-1+deb11u1
2023-01-18 05:05:17 status half-installed wget:amd64 1.21-1+deb11u1
2023-01-18 05:05:17 status unpacked wget:amd64 1.21-1+deb11u1
2023-01-18 05:05:17 install xz-utils:amd64 <none> 5.2.5-2.1~deb11u1
2023-01-18 05:05:17 status half-installed xz-utils:amd64 5.2.5-2.1~deb11u1
2023-01-18 05:05:17 status unpacked xz-utils:amd64 5.2.5-2.1~deb11u1
2023-01-18 05:05:17 install binutils-common:amd64 <none> 2.35.2-2
2023-01-18 05:05:17 status half-installed binutils-common:amd64 2.35.2-2
2023-01-18 05:05:17 status unpacked binutils-common:amd64 2.35.2-2
2023-01-18 05:05:17 install libbinutils:amd64 <none> 2.35.2-2
2023-01-18 05:05:17 status half-installed libbinutils:amd64 2.35.2-2
2023-01-18 05:05:17 status unpacked libbinutils:amd64 2.35.2-2
2023-01-18 05:05:17 install libctf-nobfd0:amd64 <none> 2.35.2-2
2023-01-18 05:05:17 status half-installed libctf-nobfd0:amd64 2.35.2-2
2023-01-18 05:05:17 status unpacked libctf-nobfd0:amd64 2.35.2-2
2023-01-18 05:05:17 install libctf0:amd64 <none> 2.35.2-2
2023-01-18 05:05:17 status half-installed libctf0:amd64 2.35.2-2
2023-01-18 05:05:17 status unpacked libctf0:amd64 2.35.2-2
2023-01-18 05:05:17 install binutils-x86-64-linux-gnu:amd64 <none> 2.35.2-2
2023-01-18 05:05:17 status half-installed binutils-x86-64-linux-gnu:amd64 2.35.2-2
2023-01-18 05:05:17 status unpacked binutils-x86-64-linux-gnu:amd64 2.35.2-2
2023-01-18 05:05:17 install binutils:amd64 <none> 2.35.2-2
2023-01-18 05:05:17 status half-installed binutils:amd64 2.35.2-2
2023-01-18 05:05:17 status unpacked binutils:amd64 2.35.2-2
2023-01-18 05:05:17 install libisl23:amd64 <none> 0.23-1
2023-01-18 05:05:17 status half-installed libisl23:amd64 0.23-1
2023-01-18 05:05:18 status unpacked libisl23:amd64 0.23-1
2023-01-18 05:05:18 install libmpfr6:amd64 <none> 4.1.0-3
2023-01-18 05:05:18 status half-installed libmpfr6:amd64 4.1.0-3
2023-01-18 05:05:18 status unpacked libmpfr6:amd64 4.1.0-3
2023-01-18 05:05:18 install libmpc3:amd64 <none> 1.2.0-1
2023-01-18 05:05:18 status half-installed libmpc3:amd64 1.2.0-1
2023-01-18 05:05:18 status unpacked libmpc3:amd64 1.2.0-1
2023-01-18 05:05:18 install cpp-10:amd64 <none> 10.2.1-6
2023-01-18 05:05:18 status half-installed cpp-10:amd64 10.2.1-6
2023-01-18 05:05:18 status unpacked cpp-10:amd64 10.2.1-6
2023-01-18 05:05:19 install cpp:amd64 <none> 4:10.2.1-1
2023-01-18 05:05:19 status half-installed cpp:amd64 4:10.2.1-1
2023-01-18 05:05:19 status unpacked cpp:amd64 4:10.2.1-1
2023-01-18 05:05:19 install libassuan0:amd64 <none> 2.5.3-7.1
2023-01-18 05:05:19 status half-installed libassuan0:amd64 2.5.3-7.1
2023-01-18 05:05:19 status unpacked libassuan0:amd64 2.5.3-7.1
2023-01-18 05:05:19 install gpgconf:amd64 <none> 2.2.27-2+deb11u2
2023-01-18 05:05:19 status half-installed gpgconf:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:19 status unpacked gpgconf:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:19 install libksba8:amd64 <none> 1.5.0-3+deb11u2
2023-01-18 05:05:19 status half-installed libksba8:amd64 1.5.0-3+deb11u2
2023-01-18 05:05:19 status unpacked libksba8:amd64 1.5.0-3+deb11u2
2023-01-18 05:05:19 install libnpth0:amd64 <none> 1.6-3
2023-01-18 05:05:19 status half-installed libnpth0:amd64 1.6-3
2023-01-18 05:05:19 status unpacked libnpth0:amd64 1.6-3
2023-01-18 05:05:19 install dirmngr:amd64 <none> 2.2.27-2+deb11u2
2023-01-18 05:05:19 status half-installed dirmngr:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:19 status unpacked dirmngr:amd64 2.2.27-2+deb11u2
2023-01-18 05:05:19 install libdpkg-perl:all <none> 1.20.12
2023-01-18 05:05:19 status half-installed libdpkg-perl:all 1.20.12
2023-01-18 05:05:19 status unpacked libdpkg-perl:all 1.20.12
2023-01-18 05:05:19 install patch:amd64 <none> 2.7.6-7
2023-01-18 05:05:19 status half-installed patch:amd64 2.7.6-7
2023-01-18 05:05:19 status unpacked patch:amd64 2.7.6-7
2023-01-18 05:05:19 install make:amd64 <none> 4.3-4.1
2023-01-18 05:05:19 status half-installed make:amd64 4.3-4.1
2023-01-18 05:05:19 status unpacked make:amd64 4.3-4.1
2023-01-18 05:05:19 install dpkg-dev:all <none> 1.20.12
2023-01-18 05:05:19 status half-installed dpkg-dev:all 1.20.12
2023-01-18 05:05:19 status unpacked dpkg-dev:all 1.20.12
2023-01-18 05:05:19 install libcc1-0:amd64 <none> 10.2.1-6
2023-01-18 05:05:19 status half-installed libcc1-0:amd64 10.2.1-6
2023-01-18 05:05:19 status unpacked libcc1-0:amd64 10.2.1-6
2023-01-18 05:05:19 install libgomp1:amd64 <none> 10.2.1-6
2023-01-18 05:05:19 status half-installed libgomp1:amd64 10.2.1-6
2023-01-18 05:05:19 status unpacked libgomp1:amd64 10.2.1-6
2023-01-18 05:05:19 install libitm1:amd64 <none> 10.2.1-6
2023-01-18 05:05:19 status half-installed libitm1:amd64 10.2.1-6
2023-01-18 05:05:19 status unpacked libitm1:amd64 10.2.1-6
2023-01-18 05:05:19 install libatomic1:amd64 <none> 10.2.1-6
2023-01-18 05:05:19 status half-installed libatomic1:amd64 10.2.1-6
2023-01-18 05:05:19 status unpacked libatomic1:amd64 10.2.1-6
2023-01-18 05:05:19 install libasan6:amd64 <none> 10.2.1-6
2023-01-18 05:05:19 status half-installed libasan6:amd64 10.2.1-6
2023-01-18 05:05:20 status unpacked libasan6:amd64 10.2.1-6
2023-01-18 05:05:20 install liblsan0:amd64 <none> 10.2.1-6
2023-01-18 05:05:20 status half-installed liblsan0:amd64 10.2.1-6
2023-01-18 05:05:20 status unpacked liblsan0:amd64 10.2.1-6
2023-01-18 05:05:20 install libtsan0:amd64 <none> 10.2.1-6
2023-01-18 05:05:20 status half-installed libtsan0:amd64 10.2.1-6
2023-01-18 05:05:20 status unpacked libtsan0:amd64 10.2.1-6
2023-01-18 05:05:20 install libubsan1:amd64 <none> 10.2.1-6
2023-01-18 05:05:20 status half-installed libubsan1:amd64 10.2.1-6
2023-01-18 05:05:20 status unpacked libubsan1:amd64 10.2.1-6
2023-01-18 05:05:20 install libquadmath0:amd64 <none> 10.2.1-6
2023-01-18 05:05:20 status half-installed libquadmath0:amd64 10.2.1-6
2023-01-18 05:05:20 status unpacked libquadmath0:amd64 10.2.1-6
2023-01-18 05:05:20 install libgcc-10-dev:amd64 <none> 10.2.1-6
2023-01-18 05:05:20 status half-installed libgcc-10-dev:amd64 10.2.1-6
2023-01-18 05:05:20 status unpacked libgcc-10-dev:amd64 10.2.1-6
2023-01-18 05:05:20 install gcc-10:amd64 <none> 10.2.1-6
2023-01-18 05:05:20 status half-installed gcc-10:amd64 10.2.1-6
